codigo,nit_proveedor,iva_compra,nombre_producto,precio_compra,precio_venta
928137146,178,7.751,Guinea,688.337,620.2409
466332167,8,8.456,Zimbabwe,267.513,116.8104
387210294,853,2.886,Antarctica,987.219,625.3817
537507271,707,11.487,Qatar,349.96,570.6911
867067241,355,6.227,Belarus,506.022,703.506
728886104,243,12.136,Gabon,744.439,692.6178
930062111,340,5.275,Liberia,44.898,804.5863
430691413,426,4.195,Kiribati,385.645,294.9104
325909391,780,14.012,Niger,242.766,613.5559
436197940,611,11.98,"Virgin Islands, British",301.434,460.9199
453562842,131,8.929,Bermuda,84.999,253.6667
669740291,20,3.902,Aruba,515.313,536.7794
704067018,582,14.625,Mali,854.283,478.889
510240583,160,6.674,Thailand,431.295,280.3507
78957553,756,1.955,Ghana,960.648,522.429
748622288,974,5.174,Serbia and Montenegro,135.899,746.6625
716461365,832,8.306,Mauritius,380.45,80.6225
487396757,74,7.915,Zimbabwe,70.477,223.8538
228290980,877,13.306,Honduras,757.685,902.6304
96681097,744,1.064,"Iran, Islamic Republic Of",391.209,148.9218
174584548,184,14.226,Egypt,745.063,525.3633
325372824,677,15.022,Panama,523.579,306.6788
156921232,656,3.991,Turkmenistan,773.815,893.9603
904618570,422,14.89,Kyrgyzstan,441.69,146.8131
546966511,376,15.298,Åland Islands,586.545,153.086
800614139,551,8.321,Reunion,812.073,274.487
477242986,556,2.849,Nepal,397.92,2.7806
840412501,639,2.66,Albania,508.347,273.5036
502436929,665,3.582,Isle of Man,904.934,118.6626
989880573,61,8.628,Myanmar,98.851,479.134
651982985,663,2.707,Egypt,288.38,300.7302
184540033,651,1.156,Canada,161.09,822.1857
299722026,105,3.866,Algeria,716.025,254.1702
116664448,101,1.07,Portugal,289.732,247.6777
970799303,670,11.123,Antigua and Barbuda,569.028,582.8739
583444840,984,8.42,Antigua and Barbuda,361.491,866.6748
803154939,803,7.201,Bosnia and Herzegovina,395.25,383.3613
429618620,451,7.618,Bangladesh,539.582,25.3183
173495122,118,9.492,Belarus,66.726,291.9338
502580168,779,12.492,"Macedonia, The Former Yugoslav Republic of",153.416,30.8498
237220824,346,9.535,Syrian Arab Republic,802.957,43.1004
759811763,711,14.537,Portugal,708.795,956.7809
610242263,84,15.525,Japan,163.68,835.6153
777633678,736,7.938,Guyana,653.504,875.3557
491088782,732,7.925,Brunei Darussalam,723.352,359.0174
709245774,790,6.682,Myanmar,202.449,372.4255
996885729,623,3.521,Myanmar,64.86,732.2978
186456721,58,13.414,Faroe Islands,993.489,954.3581
578762310,730,3.596,Brunei Darussalam,19.189,83.13
837325471,96,10.422,Norway,932.171,946.7998
53111316,19,14.113,Mauritius,319.329,189.8593
146066716,489,9.988,Peru,264.877,981.4051
933965431,663,11.933,Togo,216.451,474.6659
921305812,110,5.334,Jersey,552.209,272.6826
100120160,913,2.32,Cameroon,968.682,728.4457
500892638,820,14.505,Bosnia and Herzegovina,176.229,411.6825
204069390,90,4.26,American Samoa,276.124,196.6252
782146640,896,14.058,Barbados,66.753,970.5622
525047232,223,11.124,Vanuatu,865.821,235.0472
56393244,906,3.735,Togo,458.241,499.617
776846011,163,14.515,Aruba,349.765,198.7185
967058049,815,1.352,New Zealand,977.058,824.3195
468899462,499,14.067,Mali,89.33,892.3842
596207833,143,13.181,Burundi,484.596,278.5005
929166962,425,2.469,"Korea, Democratic People""S Republic of",896.183,977.4573
319039108,117,14.214,Qatar,706.879,737.3356
129104431,299,7.125,"Taiwan, Province of China",15.909,403.9855
745095132,636,10.058,"Micronesia, Federated States of",555.084,725.0767
802241401,978,4.691,Cuba,396.868,758.0987
177386932,632,12.341,"Moldova, Republic of",269.012,106.4592
28497040,82,9.698,Northern Mariana Islands,633.698,546.3028
37876869,55,6.334,Serbia and Montenegro,354.89,464.9287
650442656,805,2.547,Eritrea,666.46,479.3347
227945136,618,7.349,Pakistan,388.033,705.2834
301053579,818,6.346,Liberia,633.391,299.0267
401589460,421,6.703,"Virgin Islands, British",48.323,1000.5816
